symbol,gene_id,treatment_splicing_P,treatment_over_time_splicing_P
kirre,FBgn0028369,0.405942775,0.118332065
Hydr1,FBgn0033382,0.489533707,0.118436422
CG3651,FBgn0032974,0.022365173,0.118586947
w-cup,FBgn0032269,0.75365507,0.118593525
Jhedup,FBgn0034076,0.282321088,0.118831053
CR43607,FBgn0263582,0.714663395,0.118892082
CG14971,FBgn0035449,0.95560012,0.118942937
CG8155,FBgn0034009,0.658205364,0.11939302
slv,FBgn0025469,0.107214754,0.119414742
Rab14,FBgn0015791,0.743730993,0.119427211
Dl,FBgn0000463,0.898343465,0.119802852
TfIIA-S,FBgn0013347,0.023433097,0.119829688
CG4377,FBgn0034664,0.927256873,0.119911301
Gbeta76C,FBgn0004623,0.000165422,0.120048939
Nelf-A,FBgn0038872,0.707417232,0.120167197
milt,FBgn0262872,0.822351625,0.120281043
pck,FBgn0013720,0.55440101,0.120398818
Rad9,FBgn0025807,0.081553483,0.120454417
CG3335,FBgn0036018,0.408006955,0.120511067
Tet,FBgn0263392,0.986455255,0.120525653
CNT2,FBgn0025709,0.514957725,0.120657999
hyx,FBgn0037657,0.901623717,0.120820305
CG32683,FBgn0052683,0.36476147,0.120864992
mgl,FBgn0261260,0.505201255,0.120966322
axo,FBgn0262870,0.158332243,0.12099349
CHES-1-like,FBgn0029504,0.46581818,0.121104361
Vps60,FBgn0036740,0.756594744,0.121167915
Nlg1,FBgn0051146,0.923466315,0.121484932
TFAM,FBgn0038805,0.737249986,0.121577836
mAChR-B,FBgn0037546,0.133530513,0.121652212
hep,FBgn0010303,0.160734792,0.121710375
ZAP3,FBgn0052685,0.882702292,0.121761659
CR32745,FBgn0052745,0.020233165,0.122260739
Rab11,FBgn0015790,0.069148595,0.12248954
CG8323,FBgn0033903,0.297478723,0.122503879
Su(z)12,FBgn0020887,0.173316391,0.122520973
BuGZ,FBgn0032600,0.818163758,0.122702191
CG8765,FBgn0036900,0.925112135,0.122706626
CG5937,FBgn0029834,0.543052114,0.122754335
rn,FBgn0267337,0.326426364,0.122811168
CG14200,FBgn0031023,0.975903994,0.12304701
Taf11,FBgn0011291,0.251912579,0.123127056
Atg4b,FBgn0038325,0.633843663,0.123154453
nocte,FBgn0261710,0.590149516,0.123468707
dome,FBgn0043903,0.310576424,0.123700348
Kap-alpha1,FBgn0024889,0.524278145,0.12386906
Taf4,FBgn0010280,0.94844292,0.123960494
CG10713,FBgn0036360,0.279987573,0.124033368
Obp83g,FBgn0046875,0.027770527,0.124052249
CG14509,FBgn0039647,0.262269633,0.124278098
CG3345,FBgn0031240,0.049101964,0.124278708
Cka,FBgn0044323,0.410134605,0.124323605
CG8270,FBgn0035703,0.007773567,0.124402993
PGRP-LC,FBgn0035976,0.037158924,0.124510964
CG13887,FBgn0035165,0.540763106,0.124531149
Men-b,FBgn0029155,0.994205389,0.124545597
CG3328,FBgn0034985,0.926383153,0.124546976
CG10307,FBgn0034655,0.000493709,0.124646328
CG42329,FBgn0259229,0.889938908,0.124830964
ced-6,FBgn0029092,0.101057129,0.124975055
pix,FBgn0086706,0.335421618,0.125385463
frtz,FBgn0086698,0.893913967,0.12548764
DCP2,FBgn0036534,0.972636672,0.125528309
Cdk4,FBgn0016131,0.783871865,0.12614563
Rh4,FBgn0003250,0.052204064,0.126242949
CG13398,FBgn0032042,0.006435121,0.126546464
Smu1,FBgn0038666,0.098204862,0.126683607
CG14778,FBgn0029580,0.943944078,0.126705303
Nup98-96,FBgn0039120,0.826165039,0.127053965
CG9067,FBgn0033605,0.727166348,0.127055245
CG3223,FBgn0037538,0.012709182,0.127117339
Spn43Ab,FBgn0024293,0.458631072,0.127267477
CG7837,FBgn0039696,0.471601672,0.127342608
Pino,FBgn0016926,0.000959532,0.127520199
IscU,FBgn0037637,0.888978151,0.127641887
CG5335,FBgn0034365,0.561695676,0.127698713
CG17746,FBgn0035425,0.50750504,0.127760365
CG9986,FBgn0039589,0.199620198,0.127931962
Ank2,FBgn0261788,0.518523007,0.128142781
spz,FBgn0003495,3.64204E-05,0.128233498
CG34015,FBgn0054015,0.427539253,0.128409613
dtn,FBgn0262730,0.307251209,0.128462589
CG9109,FBgn0031765,0.178016673,0.128620386
Itp-r83A,FBgn0010051,0.465466739,0.128739197
RhoGEF2,FBgn0023172,0.610423483,0.128779326
Sema2b,FBgn0264273,0.853931085,0.12911006
brp,FBgn0259246,0.025492408,0.129480728
CG34383,FBgn0085412,0.999823705,0.129716661
CAHbeta,FBgn0037646,0.546293889,0.130175199
Fdh,FBgn0011768,0.000987273,0.130351659
tn,FBgn0265356,0.999972293,0.130418413
Shmt,FBgn0029823,0.147524436,0.130565414
CG3842,FBgn0029866,0.147524436,0.130565414
CG6729,FBgn0032296,0.147524436,0.130565414
mrt,FBgn0039507,0.147524436,0.130565414
fus,FBgn0023441,0.58343363,0.130575468
CG44837,FBgn0266100,0.124744626,0.130717619
dpr4,FBgn0053512,0.653828961,0.13078231
lid,FBgn0031759,0.091958892,0.130898762
CG43689,FBgn0263772,0.692583985,0.131216442
Aps,FBgn0036111,0.002019343,0.131336617
CG6230,FBgn0027582,0.968775682,0.131433868
pbl,FBgn0003041,0.960927425,0.131541796
CG5001,FBgn0031322,0.84116769,0.131591262
CG34113,FBgn0083949,0.790067699,0.13163034
CG3829,FBgn0035091,0.609266482,0.131668531
CG13288,FBgn0035648,0.215875006,0.131699312
HDAC1,FBgn0015805,0.856198109,0.131749147
Opa1,FBgn0261276,0.016523038,0.131829016
CG5644,FBgn0035948,0.006610307,0.13189618
CG9170,FBgn0030716,0.175183497,0.131987011
bsh,FBgn0000529,0.333154467,0.132191976
Arpc3A,FBgn0038369,0.517968641,0.132279566
CG3625,FBgn0031245,0.101976272,0.132365789
RpA-70,FBgn0010173,0.445428234,0.132392367
CG13563,FBgn0034966,0.526988313,0.132606461
PIG-S,FBgn0265190,0.45086208,0.132661647
Df31,FBgn0022893,0.162217067,0.132670411
Ugt36Bc,FBgn0040260,0.162217067,0.132670411
CG4476,FBgn0035969,0.305481369,0.132771246
CG13532,FBgn0034788,0.093639364,0.132813027
CG6330,FBgn0039464,0.727741994,0.132838312
twz,FBgn0034636,0.65250429,0.132994733
CngA,FBgn0261612,0.452574711,0.133116549
pico,FBgn0261811,0.386827569,0.133146043
CG32206,FBgn0052206,0.641198927,0.13319402
prg,FBgn0285971,0.19459749,0.133314878
PI31,FBgn0033669,0.024281013,0.133365925
CG13579,FBgn0035010,0.861417396,0.133405104
M1BP,FBgn0037621,0.817710419,0.133611707
wbl,FBgn0004003,0.156475561,0.133642311
Vha55,FBgn0005671,0.967806248,0.133794
PIG-A,FBgn0034270,0.807664634,0.133892794
mthl10,FBgn0035132,0.888828363,0.133942369
CG5482,FBgn0034368,0.146378095,0.13406161
ArfGAP3,FBgn0037182,0.422214571,0.134077139
slam,FBgn0043854,0.658496921,0.134108317
CG14696,FBgn0037853,0.018407059,0.134210543
CG1418,FBgn0033468,0.752359071,0.134248849
Las,FBgn0029158,0.067694065,0.134280254
beat-Vc,FBgn0038084,0.9504857,0.134302241
CG7841,FBgn0036502,0.179252199,0.134389963
Desi,FBgn0037832,0.453390737,0.134570813
Charon,FBgn0031317,0.102031768,0.134674424
CG13251,FBgn0037014,0.423238322,0.134690873
CG6650,FBgn0036402,0.447850938,0.134791504
LanB1,FBgn0261800,0.109913693,0.134987502
Mcr,FBgn0267488,0.279576315,0.135039078
CG1840,FBgn0030351,0.090834552,0.135262635
CG8677,FBgn0026577,0.529702868,0.135423139
CG10347,FBgn0030342,0.564981559,0.135505562
CG7369,FBgn0037188,0.178119304,0.135762716
aux,FBgn0037218,0.059694315,0.13609152
CG17065,FBgn0031099,0.589430332,0.136119836
CG4806,FBgn0260456,0.061223016,0.136160778
CG9372,FBgn0036891,0.888492143,0.136275616
CCKLR-17D3,FBgn0030954,0.172164878,0.136327311
ClC-a,FBgn0051116,0.801690688,0.136516665
cue,FBgn0011204,0.029755268,0.136649172
RhoBTB,FBgn0036980,0.185867003,0.136893034
CG17323,FBgn0032713,0.978575427,0.136923073
CG30495,FBgn0050495,0.083512835,0.137239162
CG7059,FBgn0038957,0.037425194,0.137291894
side,FBgn0016061,0.999076736,0.137307192
Sec71,FBgn0028538,0.87073756,0.137326343
CG1909,FBgn0039911,0.797956888,0.137394636
CG3386,FBgn0035152,0.987206564,0.137414238
CG10413,FBgn0032689,0.537535414,0.137651143
l(1)1Bi,FBgn0001341,0.957305425,0.137715349
babos,FBgn0034724,0.55210454,0.137930066
Tdc1,FBgn0259977,0.261057161,0.138008295
Tpc1,FBgn0037852,0.014489678,0.138053744
Sap130,FBgn0262714,0.604972714,0.138279175
Aldh,FBgn0012036,0.911888834,0.138416907
Lamp1,FBgn0032949,0.739097498,0.13860469
CG9240,FBgn0030669,0.585328324,0.138666632
CG10680,FBgn0032836,0.003612298,0.138724724
Dot,FBgn0015663,0.145510255,0.138764955
tfc,FBgn0035199,0.446642744,0.139048339
dati,FBgn0262636,0.888207205,0.139174935
Ubc4,FBgn0015321,0.998922124,0.13922068
RpL36,FBgn0002579,0.767186274,0.139315291
clt,FBgn0000326,0.26105634,0.139609739
CR44914,FBgn0266219,0.756611079,0.139623744
Obp57c,FBgn0034509,0.540034762,0.139666203
CG32485,FBgn0052485,0.529090423,0.139672416
MsR2,FBgn0264002,0.307692371,0.139684392
S,FBgn0003310,0.011178951,0.140015452
CG12730,FBgn0029771,0.046595663,0.140063933
CG14823,FBgn0035734,0.417218606,0.140319683
CG9747,FBgn0039754,0.001573463,0.140383797
CG18081,FBgn0036537,0.007646619,0.140559483
E(bx),FBgn0000541,0.242864674,0.140722065
CG34393,FBgn0085422,0.319524435,0.140962704
Calr,FBgn0005585,0.787601869,0.141151591
Got1,FBgn0001124,0.917847823,0.141167008
CG8635,FBgn0033317,0.672898167,0.141329033
RabX4,FBgn0051118,0.960833843,0.141349242
CG3588,FBgn0025643,0.964366749,0.141447451
CG43901,FBgn0264502,0.928292432,0.141674908
SCOT,FBgn0035298,0.505829936,0.141924853
CG3009,FBgn0029720,0.722923493,0.142074974
sick,FBgn0263873,0.901411535,0.142146048
ple,FBgn0005626,0.950380558,0.142327862
beat-Ib,FBgn0028645,0.880930023,0.142443232
NfI,FBgn0042696,0.659585844,0.142574015
CG13392,FBgn0032033,0.542212595,0.142611517
EMC1,FBgn0037530,0.121069271,0.142684569
CG11353,FBgn0035557,0.81532916,0.142761084
ADD1,FBgn0026573,0.844666265,0.142800922
CG3358,FBgn0033117,0.01912697,0.142812759
Rh2,FBgn0003248,0.038003919,0.142878206
JhI-21,FBgn0028425,0.000200899,0.14293669
Nle,FBgn0021874,0.914415607,0.142961186
CG8519,FBgn0035711,0.864779269,0.143181125
Snmp1,FBgn0260004,0.866163973,0.143209693
CG3689,FBgn0035987,0.243730024,0.143633651
CheB42c,FBgn0066292,0.038581556,0.143839923
Cyp4p1,FBgn0015037,0.90450568,0.143845272
fra,FBgn0011592,0.097201262,0.143957348
Pex11,FBgn0034058,0.577028986,0.143998242
Slmap,FBgn0040011,0.16185854,0.144139394
CG17265,FBgn0031488,0.837211791,0.144259014
CG13196,FBgn0033645,0.022795327,0.14447953
CG42399,FBgn0259818,0.766902915,0.144539662
MCTS1,FBgn0029833,0.187790679,0.144621151
EloA,FBgn0039066,0.26754908,0.144646345
Elk,FBgn0011589,0.011338725,0.144812321
CG17829,FBgn0025635,0.69986977,0.145029444
Eaat1,FBgn0026439,0.000808406,0.145399687
DhpD,FBgn0261436,0.691679848,0.145443271
CG3822,FBgn0038837,0.111154948,0.145497257
Rad17,FBgn0025808,0.77875081,0.145615929
Cpr47Ee,FBgn0033602,0.002564192,0.146021496
sbr,FBgn0003321,0.587799625,0.14617742
CG33052,FBgn0053052,0.010372515,0.146320987
vap,FBgn0003969,0.97965828,0.146398692
bmm,FBgn0036449,0.954926089,0.146427752
bif,FBgn0014133,0.852521393,0.146456425
Syx6,FBgn0037084,0.695917728,0.146615448
Bap60,FBgn0025463,0.031120074,0.146776838
Ms,FBgn0011581,0.810556624,0.1468315
CG8563,FBgn0035777,0.667925418,0.146861706
grnd,FBgn0032682,0.856037861,0.146873974
PIG-K,FBgn0023545,0.078234137,0.146940468
CG31694,FBgn0051694,0.214007302,0.147110567
bbc,FBgn0033844,0.793012118,0.147156148
Pbp95,FBgn0037540,0.005385714,0.14716309
FAM21,FBgn0034529,0.897643402,0.147284085
CG6723,FBgn0037895,0.598529049,0.147342731
CG43861,FBgn0264443,0.671093689,0.147388396
shot,FBgn0013733,0.999273307,0.147478689
Ilp3,FBgn0044050,0.612105243,0.147516563
CG11141,FBgn0033177,0.325445288,0.147582172
CG6179,FBgn0030915,0.405121206,0.147816987
CrzR,FBgn0036278,0.280558441,0.147881296
Prp31,FBgn0036487,0.545129739,0.147948876
Fip1,FBgn0037255,0.552701215,0.148038513
CG13954,FBgn0033405,0.980112274,0.148261034
spel1,FBgn0015546,0.487396588,0.148337003
Nep2,FBgn0027570,0.550405371,0.148348709
hang,FBgn0026575,0.921175632,0.148386689
CAH2,FBgn0027843,0.344273645,0.1483902
wb,FBgn0261563,0.641273486,0.148434167
CG6834,FBgn0037935,0.425332557,0.148832222
SmydA-7,FBgn0034182,0.641482477,0.148967544
CG4281,FBgn0025626,0.901246533,0.149344496
CG42876,FBgn0262150,0.12097885,0.149436879
Edem1,FBgn0023511,0.535157955,0.149572468
CG12895,FBgn0033523,0.124818084,0.14985278
CG4050,FBgn0020312,0.166669082,0.149888703
Ubc2,FBgn0015320,0.891262958,0.15032464
CG3168,FBgn0029896,0.030566127,0.150333176
Tsp42Ei,FBgn0033130,0.73564567,0.150512937
dbr,FBgn0067779,0.116444209,0.150596786
RpL11,FBgn0013325,0.182562068,0.150635161
eIF3b,FBgn0034237,0.182562068,0.150635161
CG12817,FBgn0037798,0.721710639,0.150724402
CG5577,FBgn0036759,0.057573783,0.150794305
Dop1R1,FBgn0011582,0.199743277,0.151032087
CngB,FBgn0266346,0.363813415,0.151353358
hng2,FBgn0037634,0.424258578,0.15140227
RAF2,FBgn0036624,0.211532381,0.151852724
FucT6,FBgn0030327,0.012662393,0.151940084
CG33293,FBgn0053293,0.473238408,0.151955953
CG7289,FBgn0031379,0.59811787,0.152024478
CG4586,FBgn0029924,0.32261306,0.152032662
CG5641,FBgn0038046,0.072068009,0.152492567
Surf4,FBgn0019925,0.86471697,0.152496446
Smyd4-2,FBgn0036282,0.361552085,0.152697192
Ance-4,FBgn0033366,0.316942804,0.152717114
CG15107,FBgn0041702,0.537123643,0.152807416
velo,FBgn0035713,0.345623443,0.152830868
Csp,FBgn0004179,0.025236941,0.152860451
CG6218,FBgn0038321,0.653553957,0.15295774
CG34215,FBgn0085244,0.653553957,0.15295774
CG32645,FBgn0052645,0.125829478,0.152966823
RpS3A,FBgn0017545,0.8290434,0.153491891
Nca,FBgn0013303,0.11482863,0.153951034
CG42232,FBgn0250754,0.016845341,0.153998649
CG18012,FBgn0038552,0.864329136,0.154064164
Pi3K59F,FBgn0015277,0.490318539,0.154190493
CG10211,FBgn0032685,0.556977712,0.15426225
Teh1,FBgn0037766,0.193896238,0.154355521
Art1,FBgn0037834,0.606721374,0.154484623
Sse,FBgn0035627,0.133095378,0.154697164
CG9065,FBgn0030610,0.134799485,0.155129131
Wnt2,FBgn0004360,0.046468982,0.155276347
Pvf1,FBgn0030964,0.118939325,0.155517432
CG4407,FBgn0030431,0.807109734,0.155601375
CG3408,FBgn0036008,0.937932459,0.155708639
CG5687,FBgn0035293,0.871381867,0.155782841
wkd,FBgn0037917,0.667984633,0.155851508
CG4612,FBgn0035016,0.995397095,0.155895005
CG15445,FBgn0031161,0.032808425,0.155998904
Clk,FBgn0023076,0.099952762,0.156201792
lgs,FBgn0039907,0.085636914,0.156455062
alpha-Est8,FBgn0015576,0.216594434,0.156465041
Klp3A,FBgn0011606,0.001482371,0.156496636
Arl2,FBgn0004908,0.952267869,0.156598511
CG9801,FBgn0037623,0.781257244,0.156651908
CG4887,FBgn0031318,0.189924538,0.156901248
mahj,FBgn0034641,0.010648186,0.157005638
Fpps,FBgn0025373,0.536917145,0.157104786
CG17333,FBgn0030239,0.469559738,0.157779005
Tm2,FBgn0004117,0.256977818,0.157818756
Dscam4,FBgn0263219,0.902945782,0.158039261
CG31999,FBgn0051999,0.946597783,0.158192667
hb,FBgn0001180,0.459431126,0.158517799
CG12024,FBgn0035283,0.459431126,0.158517799
Upf2,FBgn0029992,0.917501891,0.158587319
CG42450,FBgn0259927,0.70449566,0.158771721
CG30392,FBgn0050392,0.878053191,0.158910222
CG3793,FBgn0028507,0.867250674,0.159044334
CG4825,FBgn0037010,0.907966697,0.159115916
CG9512,FBgn0030593,0.367887135,0.159201671
CG32428,FBgn0052428,0.56824677,0.159280744
Nhe3,FBgn0028703,0.217796055,0.159347189
CG10165,FBgn0032801,0.572723429,0.1593951
Usp7,FBgn0030366,0.494447017,0.159653907
Adgf-A,FBgn0036752,0.855026393,0.159852826
CG42562,FBgn0260764,0.463205646,0.159925668
Eip63F-1,FBgn0004910,0.901592657,0.159961282
Vps50,FBgn0034271,0.406090182,0.160035257
CG13654,FBgn0039290,0.98247421,0.160095686
fax,FBgn0014163,0.193497524,0.160115792
Tango5,FBgn0052675,0.193497524,0.160115792
Trp1,FBgn0011584,0.193497524,0.160115792
ssp,FBgn0036248,0.754782261,0.160177031
Aac11,FBgn0027885,0.91326042,0.160482165
Ppt1,FBgn0030057,0.122177268,0.160682657
CG13531,FBgn0034786,0.418415883,0.160733011
CG1486,FBgn0031174,0.374892977,0.160915824
Tmhs,FBgn0262624,0.204382469,0.161502035
ND-18,FBgn0031021,0.001758426,0.161566003
CG3511,FBgn0035027,0.173013083,0.161570976
CG10513,FBgn0039311,0.894728487,0.161604733
Cf2,FBgn0000286,0.274760903,0.161645285
Pfrx,FBgn0027621,0.099631972,0.161930136
GCC88,FBgn0037881,0.012552047,0.162218442
Mf,FBgn0038294,0.004237704,0.162278608
CG10137,FBgn0032800,0.066387452,0.162344987
T3dh,FBgn0017482,0.007547997,0.162389702
RhoU,FBgn0083940,0.42162414,0.162518994
GlyS,FBgn0266064,0.80939703,0.162536867
Kap3,FBgn0028421,0.870851328,0.162678398
Grip75,FBgn0026431,0.769092916,0.162681375
Rpn10,FBgn0015283,0.448266069,0.162855066
DIP-gamma,FBgn0039617,0.008320504,0.162893245
Marcal1,FBgn0031655,0.310338026,0.162983847
CG31612,FBgn0051612,0.068855017,0.162992706
CG6999,FBgn0030085,0.484648927,0.163012045
Ask1,FBgn0014006,0.938201982,0.163085757
CG5147,FBgn0036775,0.033246817,0.163124045
mRpL16,FBgn0023519,0.592173773,0.163237276
CG8027,FBgn0033392,0.010110966,0.163421766
Nup93-2,FBgn0038274,0.890865315,0.163748442
mnb,FBgn0259168,0.75556508,0.163861869
Jheh3,FBgn0034406,0.565135752,0.163889677
CG10737,FBgn0034420,0.008459983,0.163937885
Tsp97E,FBgn0039465,0.861901479,0.164067425
Cerk,FBgn0037315,0.966243423,0.164133316
CG3773,FBgn0038692,0.001856747,0.164171626
temp,FBgn0027296,0.826196355,0.164401175
CG11396,FBgn0037022,0.108588319,0.164648329
NijA,FBgn0036101,0.456022604,0.16465143
NaPi-III,FBgn0260795,0.931730765,0.164746792
CG10344,FBgn0034729,0.414965927,0.164767613
CG2126,FBgn0039876,0.909734946,0.164785747
CG13843,FBgn0038993,0.556842444,0.164831294
TfIIA-L,FBgn0011289,0.19953121,0.165078445
CG11876,FBgn0039635,0.19953121,0.165078445
mtg,FBgn0260386,0.110281098,0.165115654
shrb,FBgn0086656,0.400741669,0.16527632
fz,FBgn0001085,0.269883263,0.165336164
CG7408,FBgn0036765,0.299039285,0.165389873
GXIVsPLA2,FBgn0036545,0.118276944,0.165800945
csul,FBgn0015925,0.50893111,0.165999283
CG43693,FBgn0263776,0.387038331,0.16601782
CG10019,FBgn0031568,0.968756267,0.16602928
gpp,FBgn0264495,0.858782249,0.16610786
CG31102,FBgn0051102,0.68429615,0.166446854
trr,FBgn0023518,0.756149145,0.166556099
E(var)3-9,FBgn0260243,0.931122716,0.166604533
S-Lap1,FBgn0035915,0.179475395,0.167263169
Yp2,FBgn0005391,0.003638537,0.167344417
cmpy,FBgn0037015,0.108845308,0.167560527
PIG-U,FBgn0032052,0.117595389,0.167848358
Sam-S,FBgn0005278,0.204086353,0.168016714
fon,FBgn0032773,0.235599358,0.168156259
robo3,FBgn0041097,0.123395789,0.168230754
CG30116,FBgn0028496,0.407959046,0.168353588
CG14131,FBgn0036205,0.792057048,0.168407642
g,FBgn0001087,0.454465508,0.16849146
CG10425,FBgn0039304,0.993108554,0.168581771
Wdr59,FBgn0032339,0.40410806,0.168606164
CG11147,FBgn0031734,0.495679645,0.16862695
Grip91,FBgn0001612,0.189842259,0.168725752
Acox57D-d,FBgn0034629,0.048023863,0.168924319
CG34114,FBgn0083950,0.809502771,0.169108912
Vsx1,FBgn0263511,0.561038496,0.169133401
Tbh,FBgn0010329,0.830279856,0.169231693
Pgi,FBgn0003074,0.899491441,0.169493538
CG14105,FBgn0036359,0.213454692,0.169548606
Vrp1,FBgn0243516,0.087699034,0.16960698
fl(2)d,FBgn0000662,0.166231696,0.169685903
CG12773,FBgn0024365,0.841404063,0.16978559
CG31249,FBgn0051249,0.978879282,0.169800641
CG10418,FBgn0036277,0.157329052,0.169808106
Pura,FBgn0035802,0.177351314,0.169834594
Ras85D,FBgn0003205,0.431154777,0.16989216
CG15545,FBgn0039806,0.067573709,0.170050838
CG16959,FBgn0036481,0.05254868,0.17013629
igl,FBgn0013467,0.078188512,0.170260169
CG4291,FBgn0031287,0.383613798,0.170285885
Cyp6a15Psi,FBgn0033303,0.032835334,0.170621503
ssp6,FBgn0035676,0.746602628,0.170683569
CG8771,FBgn0033766,0.138820419,0.170742388
RhoGAP1A,FBgn0025836,0.802773471,0.170793878
NFAT,FBgn0030505,0.256057225,0.170988017
CG14854,FBgn0038238,0.784744965,0.171221455
CG17271,FBgn0038829,0.563752096,0.17122606
CG9098,FBgn0031762,0.002586736,0.171306742
Dok,FBgn0029944,0.00689264,0.171370648
Alr,FBgn0031068,0.805143012,0.171453629
DNaseII,FBgn0000477,0.013271033,0.171535137
Chmp1,FBgn0036805,0.013271033,0.171535137
RpL6,FBgn0039857,0.013271033,0.171535137
CG31030,FBgn0051030,0.013271033,0.171535137
mwh,FBgn0264272,0.198812357,0.17155967
numb,FBgn0002973,0.847662393,0.171693027
CG6664,FBgn0036685,0.957167348,0.171770158
fs(1)K10,FBgn0000810,0.035294165,0.17181659
CG32037,FBgn0052037,0.054346194,0.171904118
Lsm12,FBgn0030364,0.043993415,0.172011497
wry,FBgn0051665,0.986249986,0.17204481
mus205,FBgn0002891,0.162442677,0.172237507
CG42246,FBgn0259098,0.016162098,0.17240781
tx,FBgn0263118,0.016162098,0.17240781
CG32441,FBgn0052441,0.321096825,0.172636884
CG1890,FBgn0039869,0.982025213,0.172785535
CG2064,FBgn0033205,0.209868761,0.172839139
Ptr,FBgn0262867,0.256243987,0.172910656
KrT95D,FBgn0020647,0.675144406,0.172936178
dgrn,FBgn0037384,0.04473173,0.173045706
SCAR,FBgn0041781,0.000350668,0.173076121
lbl,FBgn0008651,0.961187578,0.173109971
TkR99D,FBgn0004622,0.307498588,0.173176614
CG32369,FBgn0052369,0.904692721,0.173238384
TwdlG,FBgn0037225,0.072321528,0.173252023
CG10681,FBgn0036291,0.076985571,0.173546908
CG5955,FBgn0036997,0.759549365,0.173568243
sesB,FBgn0003360,0.127310572,0.173585592
chn,FBgn0015371,0.271173786,0.173694108
Tap42,FBgn0051852,0.000403756,0.173755609
CG31650,FBgn0031673,0.001746755,0.173825027
Nipsnap,FBgn0030724,0.770156896,0.173833507
CG11050,FBgn0031836,0.990409463,0.174092215
CG14406,FBgn0030595,0.019099594,0.174503874
Trissin,FBgn0038343,0.995297193,0.174894814
CG13603,FBgn0039135,0.074886552,0.174956081
Syb,FBgn0003660,0.978458339,0.175001424
RabX1,FBgn0015372,0.175996008,0.17574046
ort,FBgn0003011,0.863815164,0.175813301
CG5989,FBgn0017429,0.121557558,0.17602167
Cpr100A,FBgn0039805,0.245490102,0.176253733
Papst2,FBgn0036695,0.379827229,0.176430956
SNF4Agamma,FBgn0264357,0.970007386,0.17659906
CG5938,FBgn0046247,0.941497629,0.176640083
CG14005,FBgn0031739,0.625936885,0.177520382
ATP8B,FBgn0037989,5.44E-06,0.177778165
CG6937,FBgn0038989,0.097644474,0.177795368
Dg,FBgn0034072,0.216715345,0.177969328
CG5033,FBgn0028744,0.283235535,0.178037603
Dnz1,FBgn0027453,0.017473876,0.178095676
CG7879,FBgn0035235,0.394953316,0.178485031
CG31213,FBgn0051213,0.757541256,0.178562451
tej,FBgn0033921,0.694822528,0.17862887
CG3505,FBgn0038250,0.517861377,0.178654501
Irc,FBgn0038465,0.19939733,0.178659145
Mulk,FBgn0260750,0.193564606,0.178749627
CG5282,FBgn0036986,0.492972727,0.179013506
Snx6,FBgn0032005,0.961369105,0.179048847
spz3,FBgn0031959,0.70046809,0.179056622
Cals,FBgn0039928,0.814410994,0.17908805
pdm3,FBgn0261588,0.001629564,0.179229652
CG9360,FBgn0030332,0.102442458,0.179625187
ss,FBgn0003513,0.32187207,0.1797342
CLIP-190,FBgn0020503,0.008066588,0.17984744
nec,FBgn0002930,0.838812462,0.180068159
coro,FBgn0265935,0.763805524,0.180226927
CG3907,FBgn0034958,0.823858083,0.180383873
CG30002,FBgn0260474,0.211830528,0.180456164
Atg3,FBgn0036813,0.288252815,0.180480289
CG6012,FBgn0032615,0.429410981,0.180721683
CG5815,FBgn0027574,0.260102375,0.181359473
Slh,FBgn0264978,0.1173469,0.18145904
mrj,FBgn0034091,0.668488922,0.181559541
Spc105R,FBgn0037025,0.959103846,0.181775971
nompC,FBgn0016920,0.326676356,0.182059792
CG10463,FBgn0032819,0.279526765,0.18218797
crn,FBgn0000377,0.202848626,0.182330128
fy,FBgn0001084,0.202848626,0.182330128
Snr1,FBgn0011715,0.202848626,0.182330128
Srp19,FBgn0015298,0.202848626,0.182330128
hoip,FBgn0015393,0.202848626,0.182330128
Rbcn-3B,FBgn0023510,0.202848626,0.182330128
CG4585,FBgn0025335,0.202848626,0.182330128
Rep,FBgn0026378,0.202848626,0.182330128
PIG-T,FBgn0030035,0.202848626,0.182330128
CG15739,FBgn0030347,0.202848626,0.182330128
CG8939,FBgn0030720,0.202848626,0.182330128
CG6769,FBgn0030878,0.202848626,0.182330128
CG3436,FBgn0031229,0.202848626,0.182330128
Sf3b1,FBgn0031266,0.202848626,0.182330128
CG15414,FBgn0031542,0.202848626,0.182330128
CG10188,FBgn0032796,0.202848626,0.182330128
CG14464,FBgn0033000,0.202848626,0.182330128
CG8525,FBgn0033735,0.202848626,0.182330128
CG3732,FBgn0034750,0.202848626,0.182330128
CG3500,FBgn0034849,0.202848626,0.182330128
Upf3,FBgn0034923,0.202848626,0.182330128
Cpr67B,FBgn0035985,0.202848626,0.182330128
QIL1,FBgn0036726,0.202848626,0.182330128
mRpL19,FBgn0037608,0.202848626,0.182330128
CG5862,FBgn0038868,0.202848626,0.182330128
CG6028,FBgn0038924,0.202848626,0.182330128
CG5527,FBgn0039564,0.202848626,0.182330128
CG1907,FBgn0039674,0.202848626,0.182330128
bc10,FBgn0040239,0.202848626,0.182330128
Nplp4,FBgn0040717,0.202848626,0.182330128
Obp57b,FBgn0043534,0.202848626,0.182330128
bwa,FBgn0045064,0.202848626,0.182330128
endos,FBgn0061515,0.202848626,0.182330128
RpL37A,FBgn0261608,0.202848626,0.182330128
CR43242,FBgn0262887,0.202848626,0.182330128
orb2,FBgn0264307,0.202848626,0.182330128
